frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,0.4320000112,0.0401721597,48.8793106079,0.008647346168143775,-20.631171551211224
12.589254117941675,0.4506652951,0.0486176014,-9.9e+37,0.011638012706940636,-19.341211729587975
15.848931924611133,0.5019705892,0.0177276004,-85.6871337891,0.0012472208510710104,-29.040566372119457
19.952623149688797,0.5555324554,0.0117978407,-17.1148586273,0.00045101001185693943,-33.458138172219044
25.118864315095795,0.5456835628,0.011329921,-9.9e+37,0.00043109404056284435,-33.65427980784621
31.622776601683793,0.5508756638,0.0098400004,-171.7112121582,0.00031906785925086363,-34.96116941506946
39.810717055349734,0.5320432782,0.0114399996,-74.0839233398,0.00046233641073824836,-33.35041902884607
50.11872336272725,0.543184042,0.0125766005,79.5216751099,0.0005360836060367472,-32.70767473723475
63.09573444801933,0.5508353114,0.0153820803,130.3551483154,0.0007798060538002864,-31.080133976144943
79.43282347242814,0.5271289945,0.0168470405,-74.0714263916,0.0010214413375653117,-29.907865702975588
100.0,0.5222650766,0.0295845196,89.8203582764,0.003208832673599581,-24.936529288462307
125.89254117941675,0.5236967802,0.0255039204,115.2085952759,0.0023716690216759075,-26.249459190553633
158.48931924611142,0.54468292,0.0319439992,-87.7090835571,0.0034394663001388725,-24.6350894140712
199.52623149688787,0.5139583945,0.043701604,-57.3423957825,0.007230008820789233,-21.408611728551573
251.18864315095823,0.5155799389,0.0470560417,85.3521118164,0.008329880337831237,-20.793612373678656
316.22776601683796,0.5267656446,0.0600389987,92.7450256348,0.012990683320037055,-18.86368004098922
398.1071705534973,0.5249640346,0.0752716884,86.9546203613,0.02055910543407308,-16.86995786247673
501.18723362727246,0.5264249444,0.0892736018,84.9397583008,0.02875896115214796,-15.412268058426397
630.957344480193,0.5248022676,0.1163377613,79.4273681641,0.04914167992880665,-13.08550001064322
794.3282347242822,0.5199591517,0.1351130009,76.4946289062,0.06752363703531282,-11.705441732866301
1000.0,0.5279576778,0.1635487229,72.396194458,0.0959612937464705,-10.179039055232401
1258.9254117941675,0.5229041576,0.1941340864,69.3702850342,0.13783496576277482,-8.606405972937308
1584.893192461114,0.524633646,0.2362425178,64.073600769,0.20277006769449973,-6.929961538482228
1995.262314968881,0.5295348167,0.2685964108,58.3745040894,0.25728316511717053,-5.8958863017485434
2511.886431509582,0.5279048681,0.3099841475,56.4174613953,0.3448003004941823,-4.624323643586115
3162.2776601683795,0.516533792,0.3529631197,46.0836486816,0.4669401101247598,-3.3073881859937475
3981.0717055349733,0.5246383548,0.4043732882,41.0526351929,0.5940798801107214,-2.261551557614279
5011.872336272725,0.5197982192,0.4278424084,32.1199188232,0.6774825071088777,-1.6910191398000074
6309.573444801937,0.5213978887,0.4551019371,22.5335273743,0.7618664192226338,-1.1812116839799762
7943.282347242822,0.539044857,0.4762476087,23.6954803467,0.7805770934153103,-1.0758419754528645
10000.0,0.5181753039,0.5105304122,18.0180187225,0.9707106948384411,-0.12910185495139284
12589.254117941662,0.5197867155,0.49997738,13.5678386688,0.9252313958539424,-0.33749638747526733
15848.93192461114,0.5147513747,0.5045951605,10.9228820801,0.9609286270294236,-0.1730886835476028
19952.62314968883,0.5260792375,0.502381146,8.8853502274,0.9119359579790598,-0.40035659558523345
25118.864315095823,0.5243008137,0.5040273666,6.8674693108,0.9241600091201922,-0.34252828496601384
31622.776601683792,0.5194212198,0.5241907239,6.3797464371,1.0184490025821724,0.07939287188262296
39810.71705534969,0.5177407265,0.5036408305,4.5896410942,0.9462746487736535,-0.23982794744751842
50118.72336272725,0.519331038,0.5144871473,2.7067670822,0.9814326491478007,-0.08139498516428782
63095.73444801943,0.5177325606,0.5213367939,3.1818182468,1.0139716106068886,0.06025795698134481
79432.82347242821,0.5225324035,0.5034470558,1.4274384975,0.928284622652584,-0.32318843721461565
100000.0,0.5203356743,0.5080152154,1.439999938,0.95320483230026,-0.2081376465120231
