frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,0.4274447858,0.4720584452,-101.1669464111,1.2196395410929244,0.862314958836464
12.589254117941675,0.459992528,0.639087677,-100.1384506226,1.930275652001822,2.856193326321532
15.848931924611133,0.5048062205,0.8259143829,-101.7789154053,2.6768292094378006,4.276206626456819
19.952623149688797,0.5097377896,1.0534998178,-105.5023880005,4.2714494088865465,6.305752669388215
25.118864315095795,0.5355100036,1.3452175856,-107.9275741577,6.310298391601514,8.000498959734552
31.622776601683793,0.5223181844,1.6675982475,-110.6297225952,10.193247471902428,10.083125681516648
39.810717055349734,0.5207092762,2.0358896255,-116.7567596436,15.286843855487001,11.843178295827368
50.11872336272725,0.5192965269,2.4305386543,-121.32396698,21.90656217952896,13.405742286056462
63.09573444801933,0.5115357041,2.8392896652,-126.8095932007,30.80828331378392,14.886674994165201
79.43282347242814,0.5131101012,3.2523782253,-132.8878326416,40.177319704843214,16.03980960878556
100.0,0.5115291476,3.6226489544,-140.1801757813,50.15471101629314,17.003117324170287
125.89254117941675,0.5037357807,3.8995344639,-145.5415649414,59.9266396468413,17.776199255564823
158.48931924611142,0.505286932,4.1755046844,-151.3506622314,68.28759498936564,18.34341817635085
199.52623149688787,0.5006198287,4.3693323135,-156.7464141846,76.17527990192893,18.818140586891303
251.18864315095823,0.5021573901,4.4903306961,-161.2048187256,79.96076414177294,19.02876935783369
316.22776601683796,0.5159683228,4.5594100952,-164.0506439209,78.0856507486995,18.92571233964224
398.1071705534973,0.5114340186,4.6295523643,-167.3885345459,81.9405315618616,19.134987769668243
501.18723362727246,0.497502923,4.6722846031,-169.9749145508,88.19973997751976,19.454673047860737
630.957344480193,0.508292377,4.6866607666,-172.2824707031,85.01583905881962,19.294998454203846
794.3282347242822,0.5036571026,4.7010831833,-174.4241638184,87.12162076454796,19.401259462076844
1000.0,0.5052087307,4.7155513763,-174.9599914551,87.12108339817571,19.401232674699852
1258.9254117941675,0.5036177635,4.7300581932,-176.9376068115,88.21265378392627,19.4553088756224
1584.893192461114,0.5049408078,4.8028278351,-176.6899261475,90.47177206973,19.5651309692185
1995.262314968881,0.5033856034,4.7880525589,-178.5645904541,90.47242612111091,19.565162365738363
2511.886431509582,0.5049732924,4.7733168602,-179.4572906494,89.35188323590053,19.511037103989164
3162.2776601683795,0.5065258145,4.7880072594,-179.0885925293,89.35244343658835,19.51106433243651
3981.0717055349733,0.5049282312,4.832201004,-179.5690155029,91.58633405753926,19.61830675783857
5011.872336272725,0.5033375025,4.7879552841,179.4583740234,90.4860419767208,19.565815918018185
6309.573444801937,0.5048123002,4.773226738,177.8450012207,89.40550750840302,19.51364272787364
7943.282347242822,0.5032201409,4.7879166603,177.1383056641,90.52679287026517,19.567771347147055
10000.0,0.5078620911,4.7731876373,176.5765838623,88.33349644973548,19.461254211849337
12589.254117941662,0.5094271898,4.7878708839,175.9245300293,88.33251957534867,19.46120618323973
15848.93192461114,0.5016309619,4.7731423378,175.5597839355,90.53991911553175,19.56840102179402
19952.62314968883,0.5060715675,4.729259491,173.258972168,87.32978921531569,19.411624119192
25118.864315095823,0.5107419491,4.7147059441,172.1424865723,85.21306036911498,19.305061629773416
31622.776601683792,0.5091924071,4.700196743,167.4841918945,85.20561912099174,19.304682364658802
39810.71705534969,0.5012824535,4.6278867722,165.1192321777,85.23156113271907,19.30600443213409
50118.72336272725,0.5028803945,4.5566906929,162.1621704102,82.1050161416683,19.143696908112712
63095.73444801943,0.5041953325,4.4305057526,158.2367706299,77.21629646401632,18.8770896766082
79432.82347242821,0.5058233738,4.3069753647,152.4066772461,72.50149925243258,18.603469874030793
100000.0,0.5073242188,4.0566487312,147.7477416992,63.938672649401354,18.057636161861524
