frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,0.4714348614,0.2246922404,102.672203064,0.2271604710177699,-6.436672394770171
12.589254117941675,0.4638374448,0.2965459228,-109.8566131592,0.4087448591311873,-3.88547696509022
15.848931924611133,0.6360595226,0.3769569993,-116.5280990601,0.3512271708567862,-4.544118945406207
19.952623149688797,0.5757537484,0.4610299468,-121.5286636353,0.6411870240214357,-1.9301527523384783
25.118864315095795,0.6168746948,0.5564854741,-125.1859359741,0.8137926341670542,-0.8948624536879911
31.622776601683793,0.572912395,0.6549189091,-144.022857666,1.3067683966758343,1.1619862280733275
39.810717055349734,0.5307681561,0.7422498465,-138.505569458,1.9556472189090908,2.912905147157952
50.11872336272725,0.5541799664,0.8176145554,-144.0,2.176685000724949,3.3779558460141894
63.09573444801933,0.527617991,0.8805064559,-150.3797454834,2.7850044746368194,4.448258972865943
79.43282347242814,0.5161544085,0.9265637398,-156.4098358154,3.2224880753337777,5.081913189420206
100.0,0.5114330649,0.957924962,-159.6396331787,3.5082083355280207,5.450853761089391
125.89254117941675,0.5519607663,0.9784151912,-163.9245300293,3.1421720147683327,4.972299563308901
158.48931924611142,0.5207995772,0.993468225,-165.857635498,3.638871474322108,5.60966716488013
199.52623149688787,0.5284481645,1.0026373863,-168.7769775391,3.599838368431057,5.562830015244118
251.18864315095823,0.5204365849,1.0119301081,-171.8592987061,3.780640642099617,5.7756539871398065
316.22776601683796,0.528442204,1.0212732553,-174.6792297363,3.734985562474338,5.7228892739643875
398.1071705534973,0.5203136206,1.0244158506,-175.1351470947,3.8763429166444925,5.884221894878438
501.18723362727246,0.5284394622,1.0212609768,-175.9439086914,3.7349345105127605,5.722829911655321
630.957344480193,0.5266932249,1.0244028568,-176.4125366211,3.7829107763007506,5.77826098147831
794.3282347242822,0.5155228972,1.0275520086,-177.7830810547,3.9729372540018235,5.991117061437206
1000.0,0.517110467,1.0307142735,-178.3783721924,3.972920945683371,5.991099234255962
1258.9254117941675,0.5090001822,1.0275400877,-178.4030456543,4.075319594805254,6.101616726631867
1584.893192461114,0.5251153708,1.037026763,-179.7718658447,3.9000526275397673,5.910704674613472
1995.262314968881,0.5301542282,1.0402203798,179.3304901123,3.84987170760481,5.8544625740262095
2511.886431509582,0.5216356516,1.0370203257,179.9097747803,3.9522099345512176,5.968400054995035
3162.2776601683795,0.5264531374,1.0402084589,177.6151428223,3.9041035291985344,5.9152132578857834
3981.0717055349733,0.5216335058,1.0370073318,174.3654174805,3.9521434075226076,5.968326950162362
5011.872336272725,0.545312047,1.0402008295,178.0140533447,3.638682877532543,5.609442071281179
6309.573444801937,0.532687366,1.036999464,177.310043335,3.789764914188212,5.786122707497663
7943.282347242822,0.5177609324,1.0401878357,176.4143371582,4.0361285128763305,6.059649859951214
10000.0,0.5162879825,1.0369879007,175.4954986572,4.034255000248265,6.057633459591955
12589.254117941662,0.5275691748,1.0337591171,174.9024505615,3.8395460515035755,5.8427988088291
15848.93192461114,0.5258627534,1.0305792093,173.6121673584,3.840766735616082,5.8441793160906315
19952.62314968883,0.5199444294,1.0273694992,171.6479949951,3.9042667040338794,5.915394770617555
25118.864315095823,0.5277140141,1.0179238319,170.0502624512,3.720774151891658,5.7063330948297715
31622.776601683792,0.5325296521,1.0147533417,166.9962005615,3.631059707898141,5.600333903608375
39810.71705534969,0.534170568,0.9991443753,163.0891723633,3.4986184733648065,5.438965849674435
50118.72336272725,0.5192567706,0.977621913,159.1313171387,3.5446839518855033,5.495775190477175
63095.73444801943,0.5271285772,0.9448252916,155.5163726807,3.2126979628401275,5.068698979020651
79432.82347242821,0.522264719,0.9124153256,151.5035705566,3.0521351865568183,4.846037656771457
100000.0,0.5142275691,0.8538048267,144.3600006104,2.7568078579707995,4.404064980133024
