frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,0.2639999986,0.2057836801,-50.3015670776,0.6075947463933823,-2.163859899478757
12.589254117941675,0.2547160089,0.2817166746,-60.0758514404,1.2232426760307946,0.8751262417124939
15.848931924611133,0.3351244032,0.3703064919,-69.336730957,1.220985606780786,0.8671054442602523
19.952623149688797,0.2758367956,0.4724834263,-76.229637146,2.9340584418480073,4.674687600591812
25.118864315095795,0.2683920264,0.5965489149,-86.6165466309,4.94029521337661,6.937529014964627
31.622776601683793,0.3051263988,0.7467029095,-93.0524520874,5.98874912385805,7.7733612032979735
39.810717055349734,0.2871572077,0.9130672812,-102.7550506592,10.110348315567352,10.047661178979324
50.11872336272725,0.2587920129,1.0954706669,-111.3643188477,17.9184223502196,12.532997690115861
63.09573444801933,0.2547903955,1.2938227654,-118.4867706299,25.78596988236297,14.11383471078654
79.43282347242814,0.2664864063,1.5083508492,-127.3141555786,32.03720527127889,15.056546238853631
100.0,0.2547104061,1.6963866949,-133.426574707,44.3564048331544,16.46956338550242
125.89254117941675,0.2508380115,1.8581935167,-140.9287719727,54.8776091710003,17.393951823914882
158.48931924611142,0.2485080063,1.978259325,-146.1261749268,63.370286818832845,18.01885672780195
199.52623149688787,0.2492160052,2.0568687916,-154.7376861572,68.11791041773259,18.3326131709492
251.18864315095823,0.2651759982,2.1264834404,-160.9482421875,64.30660550461779,18.082555854726515
316.22776601683796,0.2461300045,2.1722841263,-165.4545593262,77.89402364110919,18.9150413804157
398.1071705534973,0.2589744031,2.2057013512,-171.2235107422,72.5403650802001,18.605797369615008
501.18723362727246,0.2471672148,2.2261433601,-171.2568817139,81.11936269565673,19.09124530021228
630.957344480193,0.2509704232,2.2329957485,-174.090927124,79.16454252083699,18.98530706392522
794.3282347242822,0.263749212,2.2536053658,176.470199585,73.00849475486328,18.633733945112475
1000.0,0.2563487887,2.2605428696,-178.9199829102,77.76120032731315,18.907629557698794
1258.9254117941675,0.2594591975,2.253588438,178.1864013672,75.441631294883,18.77611070698338
1584.893192461114,0.273224026,2.2882564068,178.2291259766,70.14094311509156,18.45971601108164
1995.262314968881,0.2858040035,2.2812128067,177.5634155273,63.70814884060781,18.041949860271185
2511.886431509582,0.2902744114,2.3022727966,175.8392028809,62.9065775200197,17.986960577076175
3162.2776601683795,0.29648,2.2951900959,175.7396240234,59.930309209610165,17.77646518438701
3981.0717055349733,0.309890002,2.2881269455,176.414352417,54.51865102464334,17.365451013849114
5011.872336272725,0.289526403,2.2951705456,174.403213501,62.842517410931684,17.982535741365194
6309.573444801937,0.2971664071,2.2881093025,174.76612854,59.28626714887306,17.72954106649877
7943.282347242822,0.3072384,2.2810702324,173.9904785156,55.122172341381436,17.41326324597761
10000.0,0.299004823,2.2740523815,173.1462860107,57.8421651519373,17.62244541131905
12589.254117941662,0.3072704077,2.2810480595,174.4493408203,55.10961763239043,17.412273977661897
15848.93192461114,0.3098108172,2.2879838943,173.2846374512,54.53970335425487,17.367127714501187
19952.62314968883,0.3203060031,2.2670345306,170.254776001,50.09404643351041,16.997861139966975
25118.864315095823,0.3040640056,2.2600619793,168.6258850098,55.24725106914005,17.423106737561685
31622.776601683792,0.2975208163,2.2252902985,168.3057403564,55.9420832605693,17.47738635287621
39810.71705534969,0.2984687984,2.2181065083,164.0397644043,55.22896669809385,17.421669179020412
50118.72336272725,0.3030720055,2.1706645489,161.0257415771,51.29721429117281,17.100937812751496
63095.73444801943,0.3039959967,2.1105566025,157.1123199463,48.20124755160231,16.830582788563845
79432.82347242821,0.3012240231,2.0261356831,152.060333252,45.243671570125755,16.555578411239836
100000.0,0.2964712083,1.9076868296,146.0869598389,41.404649828533614,16.170491160358402
