frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,0.548746407,0.1122444049,-17.6753501892,0.041839455518216356,-13.784139758370719
12.589254117941675,0.5538752079,0.1635044813,-39.0283851624,0.08714359421497056,-10.597645316674488
15.848931924611133,0.5803700686,0.2262124866,-45.1139259338,0.15192286238363154,-8.183768656373804
19.952623149688797,0.642967999,0.3077536225,-56.0384216309,0.22910134067382867,-6.399723693634519
25.118864315095795,0.6150608063,0.4085637331,-69.8941040039,0.4412487820873175,-3.553164803202398
31.622776601683793,0.5647400022,0.5261336565,-81.0455245972,0.8679507168689015,-0.6150493380914033
39.810717055349734,0.5693776011,0.6598553061,-90.8626174927,1.3430638818158183,1.2809667004793621
50.11872336272725,0.5411468148,0.7944599986,-102.7607727051,2.155330413978003,3.335138573124001
63.09573444801933,0.5489783883,0.9456608295,-111.7711410522,2.967292131938374,4.72360305010248
79.43282347242814,0.524879992,1.0882401466,-121.9032363892,4.2986239183154655,6.333294508520812
100.0,0.5587899685,1.2188292742,-135.5608520508,4.757606856928898,6.773885514211515
125.89254117941675,0.5441800356,1.3443808556,-139.3548278809,6.103225680447028,7.855594292652434
158.48931924611142,0.5135700107,1.4209797382,-145.6871490479,7.655551092866963,8.839764593029257
199.52623149688787,0.5152000189,1.4869382381,-152.0318756104,8.329791277255701,9.206341192613161
251.18864315095823,0.5199455619,1.5374869108,-157.6999206543,8.74393867793297,9.417071032041447
316.22776601683796,0.5151355863,1.5610250235,-162.817489624,9.182831697693072,9.629766246705845
398.1071705534973,0.5199552178,1.5848654509,-166.8047790527,9.29079579730345,9.680529148091054
501.18723362727246,0.5117936134,1.5994971991,-171.3509521484,9.76736109462677,9.897772436730127
630.957344480193,0.5295887589,1.6142587662,-173.6443939209,9.291135434337498,9.680687907143508
794.3282347242822,0.5374655724,1.6092950106,-177.4326324463,8.965407384867747,9.525700285306955
1000.0,0.5327376127,1.624147296,-178.3848571777,9.29445879467453,9.682241063909277
1258.9254117941675,0.5575128198,1.6291459799,178.570892334,8.539064334703216,9.314102856143494
1584.893192461114,0.565936029,1.6441810131,176.5253295898,8.440429973173993,9.263645710593536
1995.262314968881,0.5746728182,1.6389994621,175.547088623,8.134227426415151,9.103163107605237
2511.886431509582,0.5763960481,1.6441055536,177.2001953125,8.136121090764735,9.104174036142442
3162.2776601683795,0.5959008336,1.649166584,175.6653900146,7.659158674282751,8.841810668671165
3981.0717055349733,0.6050879955,1.6541172266,176.6281433105,7.473008827758669,8.734954952823449
5011.872336272725,0.6067768335,1.638851285,177.0195617676,7.294929674167544,8.630211094894856
6309.573444801937,0.6161147952,1.6539794207,176.8580474854,7.20670802698268,8.577369273821994
7943.282347242822,0.6142392159,1.6387095451,177.0632781982,7.117523111065632,8.523288860040267
10000.0,0.6275500059,1.6438139677,176.0478973389,6.86133551820372,8.364086567760111
12589.254117941662,0.6254720092,1.6386966705,176.4883575439,6.864064950749788,8.365813843422183
15848.93192461114,0.6197212338,1.6538219452,177.6221618652,7.121717579955205,8.525847472238029
19952.62314968883,0.6409920454,1.6386818886,175.2593688965,6.535578379421336,8.152840273987591
25118.864315095823,0.6350520253,1.63357687,174.9295806885,6.616990944501772,8.206605403024135
31622.776601683792,0.6254495978,1.6285471916,176.121673584,6.779787169458114,8.31216060743066
39810.71705534969,0.6273204088,1.6335562468,174.3167877197,6.780931416948527,8.312893518992878
50118.72336272725,0.6176604033,1.6285277605,172.0827331543,6.951696622164236,8.420908108809268
63095.73444801943,0.6229624748,1.6235187054,171.7889251709,6.791892751298034,8.319908194786526
79432.82347242821,0.6289303899,1.6184622049,168.7544708252,6.622164478080647,8.209999633438231
100000.0,0.6231344342,1.6035214663,166.9303894043,6.6219523998082295,8.209860546137357
