frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,0.5248000026,0.1286147982,29.2905807495,0.06006123032395771,-12.214057757428805
12.589254117941675,0.5292851925,0.1762274504,8.019241333,0.11085815024208581,-9.552323722378489
15.848931924611133,0.5856435895,0.2898471355,0.3605405688,0.2449464996842406,-6.109287622851394
19.952623149688797,0.5585787892,0.423273623,-20.0956935883,0.5742136741836977,-2.409264695340209
25.118864315095795,0.5524235964,0.6391291022,-33.5807418823,1.3385442865648178,1.2663274466194636
31.622776601683793,0.5443271995,0.8818384409,-47.3624267578,2.624568915424244,4.190579808745999
39.810717055349734,0.526812017,1.2015619278,-62.9070549011,5.202127257925579,7.161809719926601
50.11872336272725,0.5476787686,1.6025747061,-76.1329345703,8.562187953920036,9.325847570715668
63.09573444801933,0.5457903743,1.9969260693,-88.1864013672,13.386659874810045,11.2667222907368
79.43282347242814,0.5124308467,2.4125440121,-103.7529678345,22.16562389438444,13.456799598661295
100.0,0.5202440619,2.7829642296,-114.6107788086,28.615476676059007,14.566009847737744
125.89254117941675,0.5250623822,3.0807800293,-126.2042922974,34.42703107238069,15.368995715144912
158.48931924611142,0.5075364113,3.3382399082,-135.3142852783,43.26141103182382,16.361006804600084
199.52623149688787,0.5122439861,3.5117194653,-145.2631530762,46.99870516073201,16.720858930570927
251.18864315095823,0.5043839812,3.673797369,-152.5239257813,53.052741012746026,17.24707826992463
316.22776601683796,0.5089259744,3.7533423901,-157.2151794434,54.391011306916866,17.355271338460657
398.1071705534973,0.5198799968,3.8106613159,-164.7264099121,53.727234572715204,17.30194487307605
501.18723362727246,0.5119156241,3.8695743084,-167.0658721924,57.1386022542443,17.56929612303401
630.957344480193,0.5230500102,3.881332159,-170.5501861572,55.06494268164596,17.40875191492877
794.3282347242822,0.5246340036,3.9171597958,-172.0718383789,55.74805320385011,17.462297058441838
1000.0,0.5230007768,3.9051072598,-176.7664794922,55.75210456695776,17.462612660621744
1258.9254117941675,0.530978024,3.917121172,-179.5468902588,54.422804562066375,17.357809184515556
1584.893192461114,0.5491796136,3.9532794952,179.3526611328,51.81866562927678,17.14486225374946
1995.262314968881,0.557539165,3.9897723198,178.921295166,51.208902153753826,17.09345465276351
2511.886431509582,0.57304281,3.9532408714,177.554107666,47.591831463137915,16.775324179534106
3162.2776601683795,0.585365653,3.9654037952,177.0342102051,45.890243653171815,16.617203635771414
3981.0717055349733,0.5943632126,3.9776055813,176.9976196289,44.78572301661816,16.511395898174897
5011.872336272725,0.5991992354,3.9652175903,177.0195617676,43.79167401373476,16.413915471796056
6309.573444801937,0.6087087989,3.9775667191,176.814163208,42.69881154364592,16.304157872681273
7943.282347242822,0.6106104255,3.9898033142,175.6514892578,42.694756721000786,16.303745432461948
10000.0,0.6162480116,3.9775261879,177.2973022461,41.659594029010215,16.197150334509075
12589.254117941662,0.6180832386,3.9652869701,177.0639801025,41.158099530380085,16.144553130650262
15848.93192461114,0.6156312227,3.9774868488,178.5161743164,41.74228600955426,16.205762294479115
19952.62314968883,0.6176604033,3.9652490616,177.2705535889,41.21368246375058,16.15041420693882
25118.864315095823,0.6309328079,3.9530463219,177.6529693604,39.25523531857745,15.938975851155943
31622.776601683792,0.6176396012,3.9408833981,177.5354919434,40.71148112590678,16.097169027504933
39810.71705534969,0.61572963,3.9527111053,177.0852050781,41.210704755701904,16.150100415785875
50118.72336272725,0.6214288473,3.9648706913,177.1084289551,40.707575448652904,16.096752364833534
63095.73444801943,0.6233112216,3.9523739815,175.6872558594,40.20741680760928,16.04306172027599
79432.82347242821,0.6175439954,3.9642372131,174.5628051758,41.20818261810476,16.14983461495398
100000.0,0.6309403777,3.9518892765,173.4069366455,39.23131750653447,15.936328932992993
