frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3502759933,0.0155080799,-96.0300064087,2.1426680267084716e-05,-46.690451109632356
11.233240329780276,3.4424221516,0.0160763208,98.8249740601,2.1809468018850445e-05,-46.61354927694819
12.618568830660204,3.5814256668,0.0182806812,99.5454559326,2.6053907475887098e-05,-45.84127133479435
14.174741629268055,3.6581635475,0.0201552007,88.85105896,3.0356242852953783e-05,-45.177519814327745
15.922827933410922,3.7372319698,0.0216403212,93.2568588257,3.3529516778057335e-05,-44.74572705507519
17.886495290574352,3.8177235126,0.0240512788,96.4515762329,3.968874807264538e-05,-44.013326001030904
20.09233002565047,3.8764550686,0.0280703995,94.5615463257,5.2435773422934436e-05,-42.80372321807911
22.570197196339205,3.8880908489,0.0316617601,94.3089523315,6.631278988146788e-05,-41.78402700264152
25.353644939701113,3.9482057095,0.0359680019,91.8404693604,8.299139803482055e-05,-40.80966919426448
28.48035868435802,3.9846489429,0.0397113599,93.4851913452,9.932289944876395e-05,-40.02950610943702
31.992671377973846,3.9969100952,0.0447220802,94.1485214233,0.00012519737787015204,-39.02404766879974
35.938136638046274,4.0092067719,0.0493402407,90.4529190063,0.00015145569810758882,-38.197143828782934
40.37017258596554,4.0215425491,0.0563113615,89.782081604,0.00019606800039151997,-37.075932803117496
45.34878508128582,4.0339174271,0.0635711998,89.239112854,0.0002483515117557811,-36.04933192040026
50.9413801481638,4.0708470345,0.0703377575,89.0834960937,0.000298543396022092,-35.24992531257902
57.22367659350217,4.0586218834,0.0791532025,88.9702529907,0.00038034682601614697,-34.19820203569405
64.28073117284319,4.0461363792,0.0881668851,88.0308914185,0.0004748210468492363,-33.23470038816223
72.20809018385464,4.0585827827,0.0988106057,89.0909118652,0.0005927319063299691,-32.27141694373792
81.11308307896873,4.0460925102,0.1105941609,89.0510940552,0.0007471241576548033,-31.26607220803337
91.11627561154891,4.0585436821,0.1239452064,88.5245895386,0.0009326507005206032,-30.302809792334223
102.35310218990269,4.0710296631,0.1379656941,88.5246047974,0.0011485071064229612,-29.398663132502094
114.97569953977356,4.0585041046,0.1547110379,88.2393569946,0.0014531505822696815,-28.376893797416866
129.1549665014884,4.0959687233,0.1739815176,87.4418640137,0.001804234429793469,-27.43707033894374
145.082877849594,4.0583138466,0.1936572492,85.8236618042,0.0022770693500294027,-26.426237423859792
162.97508346206433,4.0708012581,0.2170411348,87.1232910156,0.0028426559703417617,-25.46275697194162
183.07382802953677,4.0582761765,0.2447339296,87.5604400635,0.00363668068475952,-24.39294830079449
205.65123083486515,4.0457882881,0.2722442448,85.6296234131,0.004528048912635945,-23.440888904829578
231.0129700083158,4.0832867622,0.3049164116,85.50831604,0.005576244896783774,-22.53658161203752
259.5024211399737,4.0457491875,0.3478332162,85.2336349487,0.007391697641601324,-21.312558062995492
291.50530628251755,4.0581979752,0.3845944703,84.755241394,0.008981308445345703,-20.466603883662593
327.45491628777285,4.0706834793,0.4334039688,82.9319381714,0.011335771907189696,-19.45548901332004
367.8379771828634,4.0581588745,0.4824360311,83.3823547363,0.014132577675551613,-18.497786188895496
413.20124001153346,4.0456733704,0.5406775475,82.0817871094,0.017860558561120086,-17.4810496335234
464.1588833612782,4.0332231522,0.6022328734,81.2256240845,0.022295869474811242,-16.517755867478897
521.4008287999684,4.0456337929,0.6782038808,79.9583053589,0.028102658412186836,-15.512525954282212
585.7020818056667,4.0331845284,0.7549265027,78.4074935913,0.035035890406363755,-14.554868408175704
657.9332246575682,4.0207753181,0.8455169201,77.2105255127,0.04422063709490377,-13.543750047512441
739.0722033525775,4.0084052086,0.936573863,74.9778518677,0.05459348667562423,-12.628591680932272
830.2175681319744,3.9960734844,1.0380426645,74.0912857056,0.06747819790934252,-11.708365243117063
932.60334688322,3.9836285114,1.1498346329,72.8731307983,0.08331306399994455,-10.792868932122426
1047.615752789665,3.9470069408,1.2658486366,71.3207550049,0.10285556073326933,-9.877722238478041
1176.811952434998,3.9348635674,1.4288085699,68.6925735474,0.1318526113094278,-8.799112646870437
1321.9411484660286,3.8982429504,1.5531264544,66.5786132812,0.1587361453051926,-7.993241701624887
1484.9682622544651,3.9100904465,1.7117738724,63.6676521301,0.19165457008981968,-7.1748082033800635
1668.100537200059,3.8739950657,1.8530790806,60.5203437805,0.22880724937171287,-6.405302197729979
1873.817422860383,3.8617763519,1.9964697361,58.0209922791,0.2672706223695557,-5.730487750405414
2104.9041445120197,3.8023664951,2.1500418186,55.5012626648,0.31973182398163,-4.952141347894098
2364.4894126454074,3.7674138546,2.2880752087,51.0879821777,0.3688535180216963,-4.331460700065403
2656.0877829466867,3.7094566822,2.4218416214,48.4210510254,0.42625635754620966,-3.7032913051757625
2983.64724028334,3.6749329567,2.533621788,45.1074028015,0.4753185124246963,-3.2301527073085756
3351.6026509388407,3.6410093307,2.6669213772,42.281879425,0.5365087895417463,-2.7042315865942808
3764.9358067924672,3.5852673054,2.7565789223,38.4650115967,0.5911501180770697,-2.283022193321798
4229.242874389499,3.5521738529,2.8498780727,35.3598632812,0.6436712823681543,-1.9133586664741604
4750.810162102798,3.5193853378,2.9292337894,32.167301178,0.692746642535411,-1.5942557039145808
5336.699231206308,3.5084249973,2.9923279285,29.069519043,0.727434641121396,-1.3820602127739134
5994.8425031894085,3.4760403633,3.056324482,26.7305393219,0.7730886530289647,-1.1177070101875048
6734.150657750822,3.443955183,3.0845382214,24.4930953979,0.802167993565,-0.9573467032172547
7564.633275546291,3.4333603382,3.1509711742,22.0241680145,0.8422675878896059,-0.7454991149121328
8497.534359086438,3.4017989635,3.1800599098,19.8979587555,0.8738830478021952,-0.5854668532067726
9545.484566618337,3.3913340569,3.1898448467,17.8455677032,0.8847039712010427,-0.5320202329163594
10722.672220103232,3.4017708302,3.2192900181,15.458937645,0.8955917831804269,-0.4788989961262488
12045.035402587837,3.3913064003,3.2690627575,14.2960290909,0.9292069660354179,-0.3188754306099428
13530.477745798076,3.3601326942,3.278996706,11.9028339386,0.9522897374263042,-0.2123089592099799
15199.11082952933,3.3497972488,3.2689070702,11.9198055267,0.9522875485254054,-0.21231894176714655
17073.526474706887,3.3601067066,3.2990849018,9.8293523788,0.9640084607381992,-0.1591915444178741
19179.10261672489,3.3497712612,3.2889306545,8.834356308,0.9640046500298091,-0.15920871203584053
21544.346900318866,3.3394618034,3.3192877769,7.1317825317,0.987954292627452,-0.052631474355097387
